,Song,Movie,Singers,Musicians,Lyricists,Lyrics
527,Bekhudi,Tera Surroor,"Darshan Raval, Aditi Singh Sharma",Himesh Reshammiya,Sameer Anjaan,"Bekhudi Bekhudi mere dil pe aisi chaayi Tu hi tu mujh mein samaayi Ban gayi meri khudayi beliya Duniya ho jaye parayi Na dena mujhko rihayi Ab kubool na judayi beliya Bekhudi Bekhudi mere dil pe aisi chaayi Tu hi tu mujh mein samaayi Ban gayi meri khudayi beliya Duniya ho jaye parayi Na dena mujhko rihayi Ab kubool na judayi beliya Jahan jahan tera chehara Wahan wahan meri aankhein Sochti hoon aqsar main to Lamha lamha teri baatein Bekhudi, bekhudi Mere dil pe aisa chaaya Tu hi tu mujh mein samaaya Ban gaya tu mera saaya beliya Duniya ho jaye parayi Na dena mujhko rihayi Ab kubool na judayi beliya Bekhudi"
528,Kabhi Yun Bhi,Ishq Junoon,Vardan Singh,Vardan Singh,Azeem Shirazi,Kabhi yun bhi aa mere dil mein tu Tujhe umra bhar ko main rok loon Kabhi yoon bhi aa mere dil mein tu Tujhe umra bhar ko main rok loon Meri raat ko bhi subah mile Mujhe tu mile to Khuda mile Barishon ka jaise mausam hai tu Chahaton ka jaise aalam hai tu Mehfooj hain tujhme saansein meri Roshan huyi tujhse raatein meri Kahan darmiyan rahe fasle Mujhe tu mile to khuda mile Mujhe tu mile to khuda mile Mujhe tu mile to khuda mile Kabhi yun bhi aa mere dil mein tu Tujhe umra bhar ko main rok loon
529,Toote Tare,Direct Ishq,Swati Sharrma,Raeth Band,A. M. Turaz,"Toote Taron se giri main Tere asmaan se Roothe khwaabon se phiri main Tere syaah mein Toote sheeshon si bikhri bikhri Roothi khushiyon se sehmi sehmi Mitti hoon teri rehguzar hi par Sukoon se mila de, bechaini mita de Mujhe chahaton ke falaq pe bitha de Dhundhle huye (dhundhle huye) Sapne sabhi (sapne sabhi) Aankhon se yoon (aankhon se yoon) Barasta hai gham (barasta hai gham) Kyun bewajah dil mein mere Dukh hain bohat, khushiyan hain kam Mitti hoon teri rehguzar hi par Sukoon se mila de, bechaini mita de Mujhe chahaton ke falaq pe bitha de x (2)"
530,Main Woh Chand,Tera Surroor 2,Darshan Raval,Himesh Reshammiya,Sameer Anjaan,"Ashkon mein hain yaadein teri Bheegi bheegi raatein meri Gumm hai kahi raahein meri Main tere ishq mein gumraah hua Main tere ishq mein gumraah hua Main woh chaand jiska Tere bin na koyi aasman Main woh chaand jiska Tere bin na koi aasman Meri duavon mein hai mannat teri Tujhko padha hai tu hai aayat meri Jannat tu hi hai, tu hona na dur Azzmat hai tujhse tuhi hai mera nur Dil ki salakhen kaid rakkhe hai Jaise parinda koyi, haan koyi Ashkon mein hain yaadein teri Bheegi bheegi raatein meri Gumm hai kahi raahein meri Main tere ishq mein gumraah hua Main tere ishq mein gumraah hua Main woh chaand jiska Tere bin na koyi aasman Main woh chaand jiska Tere bin na koi aasman"
531,Itemwaale,Tere Bin Laden ,Ram Sampath,Ram Sampath,Munna Dhiman,"All time party sharty, party sharty x (2) Upar se neeche tak Sharbat ke pyaale hain Arre dekhta ja Tujhko kya dekhane waale hain Hum itemwaale hain Hum itemwale hain By God hum sach mein Tere chaahne waale hain Tere well wisher hain Part time lover hain Oh teri duva kareinge Oh tera bhala karenge By god hum sach mein Tere chaahne waale hain Hum itemwaale hain Hum item waale hain By God hum sach mein Tere chaahne waale hain Party sharty party sharty Party sharty party sharty Jab-jab teri duniya mein Ghangor andhera chhayega Ek item song aayega Aur tujhko raah dikhaega Item karne ko hamne Yeh body hai banaai Arre kitne chooran khaaye Badi hai shug lagaai Tere seene mein fit hona hai Tere sath hi jaake sona hai Fit hona hai, fit hona hai Hum itemwaale hain Hum itemwale hain By God hum sach mein Tere chaahne waale hain Main bhi item hu, tu bhi item hai Paise khilake huye number one hain By god hum sach mein Tere chaahne waale hain Hum itemwaale hain Hum itemwale hain By God hum sach mein Tere chaahne waale hain"
532,Saathiya,Love Shagun,Kunal Ganjawala,Rishi Siddharth,Moied Elhaam,"Aye khuda shukriya oho Jo toone diya Hai paas mere hey hey Jo hai mera, jo hai mera Jo hai mera Dil pe khushi chaane lagi hai Jannat baaho mein aane lagi hai Aane lagi hai jannat baahon mein Saathiya, saathiya ishq tera Sathiya, sathiya ishq tera Saathiya, saathiya ishq tera Kuchh pal hain yaadon ke Haseen saughat hi sahi Nam ho jaaye aankh gar Nayi shuruaat hi sahi Saathiya ishq tera x (2)"
533,Oh My God,Ishq Forever,"Siddharth Mahadevan, Sarosh Nanavaty",Nadeem Saifi,-,"Naughty naughty mundey Hottie hottie kudiyaan Jaise 440 ka volt x (2) Oh my god, oh my god x (2) Mood mein jo aayenge Floor ko hilaayege Chaahe aayein kitne bhi odd Oh my god, oh my god x (2) What a girl, what a smile What a babe, what a style She is so beautiful She can rock the night She has got attitude I wanna hold her tight What a girl, what a smile What a babe, what a style She is so beautiful She can rock the night She has got attitude I wanna hold her tight Thoda thoda flirt hai Thoda thoda craze hai Aur bada lagta hai hot x (2) Oh my god, oh my god x (2)"
534,Ishq Ki Baarish,Ishq Forever,"Javed Ali, Shreya Ghoshal",Nadeem Saifi,Sameer Anjaan,"Ishq ki baarish hai yeh Ishq ki barish hai yeh Ishq mein bheegein aa Aaja mere yaar, aaja mere yaar Ishq ke rang mein mausam Ishq ke rang mein mausam Ishq mein beda paar Aaja mere yaar x (4) Mujhey teri baato mein aana nahin Kisi se kabi dil lagaana nahin Pata jis galli ka pata hi na ho Mujhey us galli mein to jaana nahin Ishq mein dhokha laage Ishq mein dhokha laage Ishq se hai inkar Mere sarkaar x (4) Tann hi nahin mera mann bhi geela geela Yeh mausam lagta hai kitna nashila Tu diwaani tujhko hosh na tera Main hun pareshan ab kyaa hoga mera Hone de jo bhi ho Hone de jo bhi ho Kar na fikar bekar Aaja mere yaar x (4) Maine kis mushkil mein jaan phansaai Mere peechhe meri museebat aayi Aisa dilkash mauka na ayega Haath malega baad mein pachhtayega Pyaar mohabbat se na Pyaar mohabbat se na Mera koyi darkar Mere sarkaar x (4) Ishq ki baarish hai yeh Ishq ki baarish hai yeh Ishq mein bheegein aa Aaja mere yaar x (4)"
535,Meri Ankhon Se Nikle Ansoo,Ishq Forever,"Rahat Fateh Ali Khan, Shreya Ghoshal",Nadeem Saifi,Rahat Fateh Ali Khan,"Meri ankhon se, ankhon se nikle ansoo Mera dil, mera dil hua bekabu Meri ankhon se, ankhon se nikle ansoo Mera dil, mera dil hua bekabu Toone jabse nigaah pheri, main marr gaya Main marr gaya, main marr gaya Maine tujhpe hi, tujhpe yaqeen kiya Mera dil, mera dil toone tod diya Arre tu to jafaa ki hadd se ghuzar gaya Ghuzar gaya, ghuzar gaya Jo bhi huva, jaise huva Abhi na tumse chhupaunga Kabhi kahi milo jo tum Tumhein haqeekat bataoonga Jo chot dil pe hai lagi Use na main seh paoongi Yeh haadsa, yeh bebasi Kisi se na keh paoongi Meri duniya mein thi bas tu hi tu Meri ankhon se, ankhon se nikle ansoo Toone jabse nigaah pheri, main marr gaya Main marr gaya, main marr gaya Jo har ghadi yaado mein tha Woh lamha maine bhula diya Woh aks jo aankhon mein tha Maine use bhi mita diya Saanson mein hai teri wafaa Aankhon mein hai teri nami Tere siwa yeh zindagi Jaise koyi banjar zameen Toone mujhko yu tanha chhod diya Mera dil, mera dil toone tod diya Arre tu to jafaa ki hadd se ghuzar gaya Ghuzar gaya, ghuzar gaya Meri ankhon se, ankhon se nikle ansoo Mera dil, mera dil hua bekabu Toone jabse nigaah pheri, main marr gaya Main marr gaya, main marr gaya"
536,Jeete Hain Chal,Neerja,Kavita Seth,Vishal Khurana,Prasoon Joshi,"Om triyambakam yajamhe Sugandhem pushtiwardhanam Purvarukamev bandhana Mrityormukshi yamaamrata Kehta yeh pal khudse nikal Jeete hain chal, jeete hain chal Jeete hain chal Gham musafir tha jaane de Dhoop aagan mein aane de Jeete hain chal, jeete hain chal Jeete hain chal Talwon ke neeche hai Thandi si ek dharti Kehti hai aaja daudenge Yaado ke bakson mein Zinda si khushbu hai Kehti hai sab peechche chhodenge Ungliyo se kal ki reit behne de Aaj aur abhi mein khudko rehne de Kehta yeh pal khudse nikal Jeete hain chal, jeete hain chal Jeete hain chal Ek tukda hasin chakh le Ik dalli zindgi rakh le Jeete hain chal, jeete hain chal Jeete hain chal Hichki ruk jaane de Sisski tham jaane de Iss pal ki yeh ghuzarish hai Marna kyun jee lena Boondo ko pee lena Tere hi sapno ki barish hai Paaniyo ko raste tu banaane de Roshni ke peechhe khud ko jaane de Kehta yeh pal khudse nikal Jeete hain chal, jeete hain chal Jeete hain chal Om triyambakam yajamhe Sugandhem pushtiwardhanam Purvarukamev bandhana Mrityormukshi yamaamrata Purvarukamev bandhana Mrityormukshi yamaamrata Kehta yeh pal khudse nikal Jeete hain chal, jeete hain chal Jeete hain chal, jeete hain chal"
537,Khuda Hai Tere Andar,Ghayal Once Again,Arijit Singh,Shankar Ehsaan Loy,Amitabh Bhattacharya,Bas ek chingaari se aag lagti hai Woh chingaari to soi hai tere hi sine me Zamaana jaisa hai usse vaisa hi rehne de Bataao na maza hi kya hai aise jine me Bas ek chingaari se aag lagti hai Woh chingaari to soi hai tere hi sine me Karta hai kyun shikayate Pehle sudhaar aadate Ek ek boond se hi ban-ta hai samandar Khud pehla qadam utha Khud apni qasam tu kha Tujhko pata nahin khuda hai tere andar Nakaamiyo ke bahane hazaaro hai Kiska kasur kahein Par zimmedaari hamari bhi ban-ti hai Itna zarur kahein Jo ho raha hai aakhon ke aage hai Nazrein kyun pher len hum Apne iraado se manzar badalne ka Sar pe surur rahe Mere yaara mere yaara sunle Dil ki pukar zara Sachchaaiyan sari nazdik hain tere Jo dhundhe tu milengi woh tujhe aayine me Zamaana jaisa hai usse vaisa hi rehne de Bataao na maza hi kya hai aise jine me Karta hai kyun shikayate Pehle sudhaar aadate Ek ek boond se hi ban-ta hai samandar Khud pehla qadam utha Khud apni qasam tu kha Tujhko pata nahin khuda hai tere andar Tujhko pata nahin khuda hai tere andar x (2)
538,Hairaani,Love Shagun,"Arijit Singh, Sakina Khan",Rishi Siddharth,Siddharth Amit Bhavsar,Kuchh raaste manzilon ko chhoo ke Mud jaate hain Kuchh naatey judte judte hi Toot jaate hain Hairaani hoti hai Aankhein jo roti hain Is shehar mein humsafar hai jhootha Dil jigar bhi khudse kyon hai rootha Mere pyaar ke mehal ka Har ik kaanch toota Sachcha tera khuda to kya Pyaar mera jhootha Kyun mitate mit-te nahin hain yeh pal Kyun aaj mein qaid hai mera kal Hairani hoti hai Aankhein jo roti hain Hairaani hoti hai Aankhein jo roti hain Hairaani oo..
539,Expectation,Ishq Forever,Neeti Mohan,Nadeem Saifi,Sameer Anjaan,"Expectation kitni hai re Kya batayein, kya sunaayein Jee mein to aata hai Ki chhod de padhayi re Kitni maze ki hogi Freedom ki ladayi re History chemistry kabhi Samajh na aayi re Yolo yolo, yolo yolo Yolo yolo, yolo, yolo yolo Yeah! c’mon You only live once You only live once Anything you wanna do it Do it right now Wanna feel happiness Do it right now Wanna get freedom Do it right now Don’t worry what they say Just do it right now Daddy ka nishana hai 100 percent lana hai Mummy ki tamanna hai Doctor hi banana hai yeah! Yeh frustration kaisi hai re Kya batayein, kya sunaayein Wo jee mein to aata hai Ki chhod de padhayi re Kitni maze ki hogi Freedom ki ladayi re History chemistry kabhi Samajh na aayi re.. yeah You only live once x (2) Mil ke saare friends sabhi Love disco mein jayein hum Jo apni desire hai yeah Poori karke aayein hum Yeh temptation kabse hai re Kya batayein, kya sunaayein Wo jee mein to aata hai Ki chhod de padhayi re Kitni maze ki hogi Freedom ki ladayi re History chemistry kabhi Samajh na aayi re"
540,Mera Kissa,Direct Ishq,Swati Sharrma,Vivek Kar,A. M. Turaz,Baantne lage kyun mujhey Dil ki mansha poochhti kya hai Mujhme duniya dhoondhti kya hai Aisi hoon na waisi hoon Main bhi sala tum jaisi hoon Phir kyun mujhko baant’ti hai Main hakk maangun to daant’ti hai Bass itna hai mera kissa Baant ke rakh tu mera hissa x (2) Tumko sala pata nahin hai Ladki hona khata nahin hai Jitna jag pe hakk tera Utna hi mera hakk hai Phir bhi sala jaane kyun Tujhko mujhpe hi shaq hai kyun Bass itna hai mera kissa Baant ke rakh tu mera hissa x (2) Hum na hote to kya hota Tanha baithe ghutt ghutt rota Kaun dil ki marammat karta Kaun tujhse muhabbat karta Sabke dil mein baste hain hum Phir bhi sala saste hain hum Bass itna hai mera kissa Baant ke rakh tu mera hissa x (2)
541,Ranga Re,Fitoor,"Sunidhi Chauhan, Amit Trivedi",Amit Trivedi,Swanand Kirkire,"Bheegi bheegi hain chaahtein Bheeni bheeni hai raat Main rang banke pighlee hu tere sath Ranga re oh dil, ranga re tere rang Ranga re teri rooh me main ghull gayi Teri gehri saason mein kho gaye ehsass Main rang banke behti hu tere hath Ranga re oh dil, ranga re tere rang Ranga re teri rooh me main ghull gayi Tujhe nasibon se main chura lu Tujhe apni saason mein mai jagah du Teri rag-rag mein aaj behke Main mere fun ko jila du, main jila lu Hoke teri jhulfo se uttre raat Rok lun yeh lamha Ke tere hothon se chhoo ke aaj Chhoo lu aag Main ranga re Ho haan main ranga re Tere rang ranga re Tere jism mein main ghul gaya"
542,Tere Liye,Fitoor,"Sunidhi Chauhan, Jubin Nautiyal",Amit Trivedi,Swanand Kirkire,"Maine poochha yeh dil se Main kyun hun jahaan mein Ek dhadkan boli tere liye Maine yaaden tarashee Aur khaab bana di Nai duniya basa di tere liye Tere liye, tere liye x (2) Jo main kehta hun, jo sunta hun Jo sehta hun tere liye Main girtha hun, sambhalta hun Fir chalta hun tere liye Koyi dard hun gehra Koyi aks hun bisra Main kyaa hun bata de tere liye Yaadon ka chehra, koyi khaab sunehara Main kyaa hun bata de tere liye Tere liye, tere liye x (2) Main khoya sa ek lamha hun Bas is pal hun tere liye Main awara baadal hun Bas is pal hun tere liye Mere har marz ki tu dawa hai Huyi hai kabool woh dua hai Yeh ulfat hai ya koyi nasha hai Jisey chhoona chaahe woh dhuan hai Tere liye, tere liye x (2) Jo main kehta hun, jo sunta hun Jo sehta hun tere liye Main girtha hun, sambhalta hun Fir chalta hun tere liye"
543,Hone Do Batiyaan,Fitoor,"Nandini Srikar, Zeb Bangash",Amit Trivedi,Swanand Kirkire,"Hone do batiyaan, hone do batiyan Kone mein dil ke pyar pada hai Tanha tanha dilo ki dil se Hone do batiyaan, hone do baatein Hone do batiyan, hone do baatein Hone do batiyaan, Hone do batiyan Seene mein chhup ke dhadke dil Tanha tanha dilo ki dil se Hone do batiyaan, hone do baatein Hone do batiyan, hone do baatein Raat ke darr pe kab se khadi hain Bhini bhini subah Kholo jharoke fiza hai benur Sang chale hain, sang pale hain Dhoop chhaiyan donon Suno baato se banti hai baatein bolo Hone do batiyaan, hone do batiyan Kone mein dil ke pyar pada hai Tanha tanha dilo ki dil se Hone do batiyaan, hone do baatein Hone do batiyan, hone do baatein Haan main bhi hu maati Tu bhi hai maati Tera mera kyaa hai Kyu hain khade hum khudse itni door Saason mein teri, saason mein meri Ek hi to hawa hai Mar jayenge hum yun na humko chodo Hone do batiyaan, hone do batiyan Kone mein dil ke pyar pada hai Tanha tanha dilo ki dil se Hone do batiyaan, hone do baatein Hone do batiyan, hone do baatein x (2)"
544,Chitta Kukkad,Loveshuda,"Neha Kakkar, Gippy Grewal",-,-,"Chitta kukkad banere te Chitta kukkad banere te Kashni dupatte valiye Munda sadke tere te Kashni dupatte valiye Munda sadke tere te Chitta kukkad banere te  Dhol te jad dulhan hilandi hip zara Dhol te jad dulhan hilandi hip zara Dulha kehnda hat jo, ennu ghar hun lai javaan Baang dende kukkad, te memaan kehndi vaah Baang dende kukkad, te memaan kehndi vaah Dulha kehnda hat jo, ennu ghar hun lai javaan Dhol te jad dulhan hilandi hip zara Baang dende kukkad, te memaan kehndi vaah Chitta kukkad banere te te Chitta kukkad banere te Ho dulhan inni chamke jiven taare paayein jhappiyan Nikke nikke munde vi tenu de ke jaayein pappiyan Like oh my god she’s so pretty Is kukkad di murgi chitti Kukkad nu flying kiss ditti Auntiyan sab kehndi aww Dulha kehnda hat jo, ennu ghar hun lai javaan Dhol te jad dulhan hilandi hip zara Baang dende kukkad, te memaan kehndi vaah Dulha kehnda hat jo, ennu ghar hun lai javaan Chitta kukkad banere te Kashni dupatte valiye Munda sadke tere te Tere te, tere te Ho jad ae song vajega Har kukkad nachega Har murgi jachegi, karegi show stop ni Dulha cake katega Par share ni karega Vanilla flavour dulhan With cherry on the top ni Lovely couple ne sab de dilan ton Sharm kad di ve Rap karde ne uncle te auntiyan di booty matakdi ve Sab ton vadiya wedding, sab ton sohni jodi, maan lo Kha lo, pee lo, nach lo, jodi nu bas ghar jaan do Chitta kukkad floor te, nachda, tapda, gaunda gaana Sohni dulhan chuk ke, munde ne honeymoon te jaana Chitta kukkad floor te, ennu tussi delay na karaana Sohni dulhan naal hun, munde ne honeymoon manaana Wedding chal rahi savere se Ho na handle ab mere se Rasamon se total pak gaya Aa kar lein rasam ab andhere mein, andhere mein"
545,Total Talli,Loveshhuda,"Parichay, Teesha Nigam",Parichay,-,"Party rahe jaari Hona hai total drunk Kar lo sab taiyyari Daaru ka laya truck Koi bhi brand kare dilbar demand Aaj botal mein boond na bache (Aaj botal mein boond na bache) Main total talli Main total talli ho gaya Ho gaya, ho gaya haan x (4) Ho gaya, ho gaya haan Ho milegi na din mein Kabhi bhi yeh raatein Nashe mein tu kar le Hai dil mein jo baatein Bouncer se keh de hamein wo na toke Chalaaye subah tak yeh music na ruke Chaahe daaru ho, par apna hai plan Aaj botal mein boond na bache Aaj botal mein boond na bache Aaj botal mein boond na bache Main total talli Main total talli ho gaya Ho gaya, ho gaya haan x (4) Aaj botal mein boond na bache Main total talli ho gaya Ho gaya, ho gaya Aaj botal mein boond na bache Main total talli ho gaya Ho gaya, ho gaya haan"
546,Pashmeena,Fitoor,Amit Trivedi,Amit Trivedi,Swanand Kirkire,Pashmina dhaago ke sang Koyi aaj bunne khwab aise kaise Vaadi me goonje kahin Naye saaz yeh ravaab aise kaise Pashmina dhaago ke sang Kaliyo ne badle abhi yeh mizaaj Ehsass aise kaise Palko ne khole abhi naye raaz Jazbat aise kaise Pashmina dhaago ke sang Koyi aaj bunne khwab aise kaise Kaccchi hawa kachcha dhuan ghul raha Kachcha sa dil lamhe naye chun raha Kachchi si dhoop kachchi dagar fisal rahi Koyi khada chupke se keh raha Main saya banoon tere peechhe chaloon Chalta rahoon.. Pashmina dhaago ke sang Koyi aaj bunne khwab aise kaise
547,Bewajah,Sanam Teri Kasam,Himesh Reshammiya,Himesh Reshammiya,Sameer Anjaan,Yaado ki qaid me giraftar ho gaya dil Darbadar ishq me taar-taar ho gaya dil Yaado ki qaid me giraftar ho gaya dil Darbadar ishq me taar-taar ho gaya dil Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Yaado ki qaid me giraftar ho gaya dil Darbadar ishq me taar-taar ho gaya dil Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Kisi aur ko tu chahe Kisi aur ko tu soche Iss dil ko nahi ye gawaara hai Furqatt ka sharara hai Kaisa angaara hai Teri tishangi ne mujhe mara hai Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Rahe sath adoorapan Chahe main jahan bhi rahu Kahin sabra na mujhe aata hai Meri berang dunia me Mere saath tera hona Mujhe rahat kyon de jaata hai Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Yaado ki qaid me giraftar ho gaya dil Darbadar ishq me taar-taar ho gaya dil Yaado ki qaid me giraftar ho gaya dil Darbadar ishq me taar-taar ho gaya dil Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma Bewajah nahi milna tere mera Rehnuma rehnuma rehnuma
